
Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum
tion: 0, Vector: (0 6 10 20 41 ), Value: 286.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 12, Vector: (0 1 2 5 9 10 13 16 18 20 22 24 25 36 37 39 40 41 43 ), Value: 1319.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 12, Vector: (0 1 2 9 10 11 13 16 18 20 22 24 25 36 37 39 40 41 43 ), Value: 1324.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 0, Vector: (0 1 2 3 9 10 11 13 15 16 18 20 22 24 25 36 37 39 40 41 43 ), Value: 1375.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 0, Vector: (0 1 2 9 10 11 13 15 16 18 20 22 24 25 26 36 37 39 40 41 43 ), Value: 1402.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 4, Vector: (0 1 2 5 9 10 11 13 15 16 18 20 22 24 25 36 37 39 40 41 43 ), Value: 1400.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 10, Vector: (0 1 2 3 9 10 11 13 15 16 18 20 22 24 25 26 36 37 39 40 41 43 ), Value: 1435.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 10, Vector: (0 1 2 5 9 10 11 13 15 16 18 20 22 24 25 26 36 37 39 40 41 43 ), Value: 1460.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 4, Vector: (0 1 2 5 9 10 11 13 15 16 18 19 20 22 24 25 26 36 37 39 40 43 ), Value: 1404.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 4, Vector: (0 1 2 3 5 9 10 11 13 15 16 18 20 22 24 25 26 36 37 39 40 43 ), Value: 1394.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 5, Vector: (0 1 2 5 9 10 11 13 15 16 18 20 21 22 24 25 26 36 37 39 40 43 ), Value: 1419.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 5, Vector: (0 1 2 5 9 10 11 13 15 16 18 20 22 24 25 26 36 37 39 40 41 43 ), Value: 1460.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 14, Vector: (0 1 2 5 9 10 11 13 15 16 18 19 20 21 22 24 25 26 36 37 39 40 43 ), Value: 1462.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 14, Vector: (0 1 2 5 9 10 11 13 15 16 18 20 21 22 24 25 26 32 36 37 39 40 43 ), Value: 1469.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 14, Vector: (0 1 2 5 9 10 11 13 15 16 18 20 21 22 24 25 26 34 36 37 39 40 43 ), Value: 1476.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 14, Vector: (0 1 2 5 9 10 11 13 15 16 18 20 21 22 24 25 26 36 37 39 40 41 43 ), Value: 1518.0
