
Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum
eration: 0, Vector: (0 1 20 21 41 ), Value: 333.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 0, Vector: (0 1 2 3 4 10 11 16 18 20 21 22 23 24 25 26 27 30 36 37 39 40 41 ), Value: 1517.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 0, Vector: (0 1 2 3 4 10 11 16 18 20 21 22 23 24 25 26 27 30 36 37 39 40 41 ), Value: 1517.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 0, Vector: (0 1 2 4 5 10 11 16 18 20 21 22 23 24 25 26 27 30 36 37 39 40 41 ), Value: 1542.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 11, Vector: (0 1 2 3 4 5 10 11 16 18 20 21 22 23 24 25 26 27 30 36 37 39 40 41 ), Value: 1575.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 11, Vector: (0 1 2 4 5 9 10 11 16 18 20 21 22 23 24 25 26 27 30 36 37 39 40 41 ), Value: 1587.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 12, Vector: (0 1 2 4 5 10 11 16 18 20 21 22 23 24 25 26 27 30 32 36 37 39 40 41 ), Value: 1592.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 12, Vector: (0 1 2 4 5 10 11 16 18 20 21 22 23 24 25 26 27 30 34 36 37 39 40 41 ), Value: 1599.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 0, Vector: (0 1 2 3 4 5 10 11 15 16 18 20 21 22 23 24 25 26 27 30 34 36 37 39 40 41 ), Value: 1650.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 1, Vector: (0 1 2 4 5 9 10 11 15 16 18 20 21 22 23 24 25 26 27 30 34 36 37 39 40 41 ), Value: 1662.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 3, Vector: (0 1 2 4 5 10 11 15 16 18 20 21 22 23 24 25 26 27 30 32 34 36 37 39 40 41 ), Value: 1667.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 10, Vector: (0 1 2 3 4 5 9 10 11 15 16 18 20 21 22 23 24 25 26 27 30 34 36 37 39 40 41 ), Value: 1695.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 10, Vector: (0 1 2 4 5 9 10 11 15 16 18 19 20 21 22 23 24 25 26 27 30 34 36 37 39 40 41 ), Value: 1705.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 11, Vector: (0 1 2 4 5 9 10 11 15 16 18 20 21 22 23 24 25 26 27 30 32 34 36 37 39 40 41 ), Value: 1712.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 3, Vector: (0 1 2 4 5 9 10 11 15 16 18 19 21 22 23 24 25 26 27 30 32 34 36 37 39 40 41 ), Value: 1747.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 3, Vector: (0 1 2 3 4 5 9 10 11 15 16 18 21 22 23 24 25 26 27 30 32 34 36 37 39 40 41 ), Value: 1737.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 12, Vector: (0 1 2 3 4 5 9 10 11 15 16 18 19 21 22 23 24 25 26 27 30 32 34 36 37 39 40 41 ), Value: 1780.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 12, Vector: (0 1 2 4 5 9 10 11 15 16 18 19 21 22 23 24 25 26 27 28 30 32 34 36 37 39 40 41 ), Value: 1787.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 13, Vector: (0 1 2 4 5 9 10 11 15 16 18 19 21 22 23 24 25 26 27 29 30 32 34 36 37 39 40 41 ), Value: 1790.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 6, Vector: (0 1 2 3 4 5 9 10 11 14 15 16 18 19 21 22 23 24 25 26 27 29 30 32 34 36 37 39 40 41 ), Value: 1831.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 6, Vector: (0 1 2 4 5 9 10 11 14 15 16 18 19 21 22 23 24 25 26 27 28 29 30 32 34 36 37 39 40 41 ), Value: 1838.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 14, Vector: (0 1 2 3 4 5 7 9 10 11 14 15 16 18 19 21 22 23 24 25 26 27 29 30 32 34 36 37 39 40 41 ), Value: 1858.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 15, Vector: (0 1 2 3 4 5 9 10 11 14 15 16 18 19 21 22 23 24 25 26 27 28 29 30 32 34 36 37 39 40 41 ), Value: 1871.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 16, Vector: (0 1 2 4 5 9 10 11 14 15 16 18 19 21 22 23 24 25 26 27 28 29 30 32 34 36 37 38 39 40 41 ), Value: 1872.0
