
Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum
ration: 53, Vector: (8 22 ), Value: 104.0
Function: Discrete Weight Sum, Thread: 10, Iteration: 11, Vector: (0 3 8 12 13 18 22 23 25 33 40 41 ), Value: 694.0
Function: Discrete Weight Sum, Thread: 8, Iteration: 13, Vector: (0 3 8 12 18 22 23 25 33 39 40 41 ), Value: 762.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 16, Vector: (0 3 8 12 18 22 23 25 33 39 40 41 ), Value: 762.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 0, Vector: (0 3 6 8 12 18 22 23 25 26 33 34 37 40 41 ), Value: 872.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 2, Vector: (0 3 8 12 18 21 22 23 25 26 33 34 37 40 41 ), Value: 926.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 4, Vector: (0 3 8 12 18 22 23 25 26 29 33 34 37 40 41 ), Value: 911.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 6, Vector: (0 3 8 12 18 20 21 22 23 25 26 33 34 37 40 41 ), Value: 934.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 10, Vector: (0 3 8 12 18 22 23 25 26 29 33 34 37 40 41 ), Value: 911.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 11, Vector: (0 3 6 8 12 18 22 23 24 25 26 33 34 37 40 41 ), Value: 950.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 11, Vector: (0 3 5 8 12 18 22 23 25 26 33 34 37 40 41 ), Value: 926.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 33, Vector: (0 3 8 10 12 18 22 23 25 26 33 34 37 40 41 ), Value: 945.0
Function: Discrete Weight Sum, Thread: 23, Iteration: 37, Vector: (0 3 8 11 12 18 22 23 25 26 33 34 37 40 41 ), Value: 931.0
Function: Discrete Weight Sum, Thread: 21, Iteration: 40, Vector: (0 3 8 12 18 22 23 25 26 33 34 37 39 40 41 ), Value: 966.0
Function: Discrete Weight Sum, Thread: 35, Iteration: 47, Vector: (0 3 8 12 18 22 23 25 26 33 34 36 37 40 41 ), Value: 956.0
Function: Discrete Weight Sum, Thread: 47, Iteration: 48, Vector: (0 3 8 12 16 18 22 23 25 26 33 34 37 40 41 ), Value: 911.0
Function: Discrete Weight Sum, Thread: 48, Iteration: 48, Vector: (0 3 8 12 16 18 22 23 25 26 33 34 37 40 41 ), Value: 941.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 1, Vector: (0 3 8 12 16 18 22 23 25 26 33 34 37 40 41 43 44 ), Value: 967.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 10, Vector: (0 1 3 8 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 1012.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 21, Vector: (0 3 8 10 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 1019.0
Function: Discrete Weight Sum, Thread: 15, Iteration: 30, Vector: (0 3 8 12 16 18 22 23 24 25 26 33 34 37 40 41 43 ), Value: 1020.0
Function: Discrete Weight Sum, Thread: 10, Iteration: 31, Vector: (0 2 3 8 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 1008.0
Function: Discrete Weight Sum, Thread: 17, Iteration: 39, Vector: (0 2 3 8 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 1008.0
Function: Discrete Weight Sum, Thread: 23, Iteration: 39, Vector: (0 3 8 10 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 1019.0
Function: Discrete Weight Sum, Thread: 27, Iteration: 41, Vector: (0 3 8 12 16 18 22 23 25 26 33 34 37 40 41 42 43 ), Value: 958.0
Function: Discrete Weight Sum, Thread: 29, Iteration: 41, Vector: (0 3 8 12 16 18 22 23 25 26 27 33 34 37 40 41 43 ), Value: 980.0
Function: Discrete Weight Sum, Thread: 35, Iteration: 43, Vector: (0 3 8 10 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 1019.0
Function: Discrete Weight Sum, Thread: 38, Iteration: 44, Vector: (0 1 3 8 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 1012.0
Function: Discrete Weight Sum, Thread: 45, Iteration: 45, Vector: (0 3 8 11 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 1005.0
Function: Discrete Weight Sum, Thread: 43, Iteration: 46, Vector: (0 3 8 12 16 18 22 23 25 26 30 33 34 37 40 41 43 ), Value: 985.0
Function: Discrete Weight Sum, Thread: 48, Iteration: 46, Vector: (0 3 6 8 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 946.0
Function: Discrete Weight Sum, Thread: 47, Iteration: 46, Vector: (0 3 8 12 16 18 22 23 25 26 31 33 34 37 40 41 43 ), Value: 964.0
Function: Discrete Weight Sum, Thread: 39, Iteration: 46, Vector: (0 3 8 12 13 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 972.0
Function: Discrete Weight Sum, Thread: 30, Iteration: 46, Vector: (0 3 8 12 16 18 22 23 25 26 34 37 40 41 43 ), Value: 938.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 8, Vector: (0 3 8 12 16 18 22 23 25 26 32 33 34 37 40 41 43 ), Value: 992.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 11, Vector: (0 1 3 8 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 1012.0
Function: Discrete Weight Sum, Thread: 12, Iteration: 18, Vector: (0 3 8 12 16 18 19 22 23 25 26 33 34 37 40 41 43 ), Value: 985.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 19, Vector: (0 3 8 12 16 18 21 22 23 25 26 33 34 37 40 41 43 ), Value: 1000.0
Function: Discrete Weight Sum, Thread: 19, Iteration: 22, Vector: (0 3 8 12 16 18 19 22 23 25 26 33 34 37 40 41 43 ), Value: 985.0
Function: Discrete Weight Sum, Thread: 10, Iteration: 25, Vector: (0 3 8 11 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 1005.0
Function: Discrete Weight Sum, Thread: 20, Iteration: 27, Vector: (0 2 3 8 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 1008.0
Function: Discrete Weight Sum, Thread: 16, Iteration: 30, Vector: (0 3 8 12 16 18 22 23 25 26 32 33 34 37 40 41 43 ), Value: 992.0
Function: Discrete Weight Sum, Thread: 22, Iteration: 38, Vector: (0 3 8 12 16 18 22 23 25 26 33 34 35 37 40 41 43 ), Value: 947.0
Function: Discrete Weight Sum, Thread: 30, Iteration: 43, Vector: (0 3 8 12 16 18 22 23 25 26 33 34 37 40 41 42 43 ), Value: 958.0
Function: Discrete Weight Sum, Thread: 28, Iteration: 44, Vector: (0 3 6 8 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 946.0
Function: Discrete Weight Sum, Thread: 23, Iteration: 44, Vector: (0 3 8 12 14 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 950.0
Function: Discrete Weight Sum, Thread: 36, Iteration: 46, Vector: (0 3 8 12 16 18 19 22 23 25 26 33 34 37 40 41 43 ), Value: 985.0
Function: Discrete Weight Sum, Thread: 42, Iteration: 47, Vector: (0 3 8 9 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 987.0
Function: Discrete Weight Sum, Thread: 37, Iteration: 47, Vector: (0 3 8 12 16 18 22 23 25 26 33 34 37 40 41 43 44 ), Value: 967.0
Function: Discrete Weight Sum, Thread: 44, Iteration: 48, Vector: (0 1 3 8 12 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 1012.0
Function: Discrete Weight Sum, Thread: 35, Iteration: 48, Vector: (0 3 8 12 16 18 22 23 25 26 28 33 34 37 40 41 43 ), Value: 982.0
Function: Discrete Weight Sum, Thread: 48, Iteration: 49, Vector: (0 3 8 12 16 18 22 23 25 26 33 34 37 39 40 41 43 ), Value: 1040.0
Function: Discrete Weight Sum, Thread: 46, Iteration: 48, Vector: (0 3 8 12 15 16 18 22 23 25 26 33 34 37 40 41 43 ), Value: 960.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 4, Vector: (0 3 8 12 16 18 22 25 26 33 34 35 37 39 40 41 43 ), Value: 1010.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 11, Vector: (0 3 8 9 12 16 18 22 25 26 33 34 37 39 40 41 43 ), Value: 1050.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 15, Vector: (0 2 3 8 12 16 18 22 25 26 33 34 37 39 40 41 43 ), Value: 1071.0
