
Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum
ht Sum, Thread: 2, Iteration: 0, Vector: (24 254 ), Value: 6.252000152E9
Function: Discrete Weight Sum, Thread: 4, Iteration: 0, Vector: (24 100 254 362 457 512 719 776 791 853 904 911 918 920 928 949 968 978 983 996 ), Value: 9.990470439E9
Function: Discrete Weight Sum, Thread: 4, Iteration: 10, Vector: (24 100 254 362 457 512 719 776 791 853 900 904 911 918 920 928 949 968 978 983 996 ), Value: 9.990470528E9
Function: Discrete Weight Sum, Thread: 4, Iteration: 10, Vector: (24 100 254 362 457 512 719 776 791 853 904 911 918 920 928 947 949 968 978 983 996 ), Value: 9.99047053E9
Function: Discrete Weight Sum, Thread: 4, Iteration: 10, Vector: (24 100 254 362 457 512 719 776 791 853 904 911 918 920 928 949 952 968 978 983 996 ), Value: 9.990470531E9
Function: Discrete Weight Sum, Thread: 10, Iteration: 0, Vector: (24 100 254 362 457 512 719 776 791 853 900 904 911 918 920 928 949 952 968 978 983 996 ), Value: 9.99047062E9
Function: Discrete Weight Sum, Thread: 8, Iteration: 0, Vector: (24 100 254 362 457 512 719 776 791 853 904 911 918 920 928 947 949 952 968 978 983 996 ), Value: 9.990470622E9
Function: Discrete Weight Sum, Thread: 8, Iteration: 10, Vector: (24 100 254 362 457 512 719 776 791 853 900 904 911 918 920 928 947 949 952 968 978 983 996 ), Value: 9.990470711E9
Function: Discrete Weight Sum, Thread: 8, Iteration: 10, Vector: (24 100 254 362 457 512 719 776 791 853 904 911 918 920 928 947 949 952 968 978 983 991 996 ), Value: 9.990470712E9
Function: Discrete Weight Sum, Thread: 2, Iteration: 0, Vector: (24 100 254 362 457 512 719 776 791 853 900 904 911 918 920 928 947 949 952 968 978 983 991 996 ), Value: 9.990470801E9
Function: Discrete Weight Sum, Thread: 2, Iteration: 10, Vector: (24 100 254 362 457 512 719 776 791 853 900 901 904 911 918 920 928 947 949 952 968 978 983 991 996 ), Value: 9.990470873E9
Function: Discrete Weight Sum, Thread: 2, Iteration: 10, Vector: (24 100 254 362 457 512 719 776 791 853 900 904 911 918 920 927 928 947 949 952 968 978 983 991 996 ), Value: 9.990470882E9
Function: Discrete Weight Sum, Thread: 2, Iteration: 10, Vector: (24 100 254 362 457 512 719 776 791 853 900 904 911 918 920 928 932 947 949 952 968 978 983 991 996 ), Value: 9.990470889E9
Function: Discrete Weight Sum, Thread: 2, Iteration: 10, Vector: (24 100 254 362 457 512 719 776 791 853 900 904 911 918 920 928 947 949 952 953 968 978 983 991 996 ), Value: 9.99047089E9
Function: Discrete Weight Sum, Thread: 5, Iteration: 0, Vector: (24 100 254 362 457 512 719 776 791 853 900 901 904 911 918 920 928 947 949 952 953 968 978 983 991 996 ), Value: 9.990470962E9
Function: Discrete Weight Sum, Thread: 5, Iteration: 0, Vector: (24 100 254 362 457 512 719 776 791 853 900 904 911 918 920 927 928 947 949 952 953 968 978 983 991 996 ), Value: 9.990470971E9
Function: Discrete Weight Sum, Thread: 5, Iteration: 0, Vector: (24 100 254 362 457 512 719 776 791 853 900 904 911 918 920 928 932 947 949 952 953 968 978 983 991 996 ), Value: 9.990470978E9
Function: Discrete Weight Sum, Thread: 5, Iteration: 0, Vector: (24 100 254 362 457 512 719 776 791 853 900 904 911 918 920 928 947 949 952 953 968 974 978 983 991 996 ), Value: 9.990470979E9
Function: Discrete Weight Sum, Thread: 5, Iteration: 10, Vector: (24 100 254 362 457 512 719 776 791 853 900 901 904 911 918 920 928 947 949 952 953 968 974 978 983 991 996 ), Value: 9.990471051E9
Function: Discrete Weight Sum, Thread: 5, Iteration: 10, Vector: (24 100 254 362 457 512 719 776 791 853 900 904 911 918 920 927 928 947 949 952 953 968 974 978 983 991 996 ), Value: 9.99047106E9
Function: Discrete Weight Sum, Thread: 5, Iteration: 10, Vector: (24 100 254 362 457 512 719 776 791 853 900 904 911 918 920 928 932 947 949 952 953 968 974 978 983 991 996 ), Value: 9.990471067E9
