
(5.0 1.0 4.0 6.0 8.0 2.0 7.0 3.0 0.0 ) , [0101,0001,0100,0110,1000,0010,0111,0011,0000]
(2.0 6.0 3.0 1.0 8.0 5.0 0.0 4.0 7.0 ) , [0010,0110,0011,0001,1000,0101,0000,0100,0111]
(4.0 6.0 1.0 3.0 7.0 0.0 8.0 5.0 2.0 ) , [0100,0110,0001,0011,0111,0000,1000,0101,0010]
(2.0 8.0 5.0 3.0 0.0 6.0 4.0 1.0 7.0 ) , [0010,1000,0101,0011,0000,0110,0100,0001,0111]
(2.0 5.0 7.0 4.0 1.0 8.0 6.0 3.0 0.0 ) , [0010,0101,0111,0100,0001,1000,0110,0011,0000]
(3.0 5.0 2.0 8.0 6.0 0.0 7.0 1.0 4.0 ) , [0011,0101,0010,1000,0110,0000,0111,0001,0100]
(4.0 6.0 8.0 3.0 7.0 0.0 2.0 5.0 1.0 ) , [0100,0110,1000,0011,0111,0000,0010,0101,0001]
(6.0 4.0 1.0 7.0 0.0 2.0 8.0 5.0 3.0 ) , [0110,0100,0001,0111,0000,0010,1000,0101,0011]
(8.0 1.0 4.0 6.0 3.0 0.0 7.0 5.0 2.0 ) , [1000,0001,0100,0110,0011,0000,0111,0101,0010]
(2.0 6.0 3.0 1.0 8.0 4.0 0.0 7.0 5.0 ) , [0010,0110,0011,0001,1000,0100,0000,0111,0101]
(2.0 5.0 8.0 6.0 3.0 0.0 7.0 1.0 4.0 ) , [0010,0101,1000,0110,0011,0000,0111,0001,0100]
(7.0 3.0 8.0 6.0 2.0 0.0 5.0 1.0 4.0 ) , [0111,0011,1000,0110,0010,0000,0101,0001,0100]
(1.0 8.0 5.0 3.0 6.0 0.0 2.0 4.0 7.0 ) , [0001,1000,0101,0011,0110,0000,0010,0100,0111]
(4.0 1.0 7.0 0.0 3.0 6.0 8.0 5.0 2.0 ) , [0100,0001,0111,0000,0011,0110,1000,0101,0010]
(4.0 1.0 8.0 0.0 5.0 7.0 2.0 6.0 3.0 ) , [0100,0001,1000,0000,0101,0111,0010,0110,0011]
(6.0 4.0 0.0 7.0 5.0 2.0 8.0 1.0 3.0 ) , [0110,0100,0000,0111,0101,0010,1000,0001,0011]
(0.0 4.0 8.0 1.0 5.0 7.0 2.0 6.0 3.0 ) , [0000,0100,1000,0001,0101,0111,0010,0110,0011]
(4.0 6.0 1.0 3.0 7.0 0.0 2.0 8.0 5.0 ) , [0100,0110,0001,0011,0111,0000,0010,1000,0101]
(2.0 7.0 1.0 3.0 8.0 6.0 4.0 0.0 5.0 ) , [0010,0111,0001,0011,1000,0110,0100,0000,0101]
(5.0 3.0 8.0 0.0 4.0 1.0 7.0 2.0 6.0 ) , [0101,0011,1000,0000,0100,0001,0111,0010,0110]
(6.0 4.0 1.0 7.0 0.0 3.0 8.0 2.0 5.0 ) , [0110,0100,0001,0111,0000,0011,1000,0010,0101]
(7.0 4.0 1.0 3.0 0.0 6.0 8.0 5.0 2.0 ) , [0111,0100,0001,0011,0000,0110,1000,0101,0010]
(7.0 4.0 1.0 8.0 6.0 3.0 0.0 2.0 5.0 ) , [0111,0100,0001,1000,0110,0011,0000,0010,0101]
(6.0 8.0 2.0 4.0 1.0 7.0 5.0 3.0 0.0 ) , [0110,1000,0010,0100,0001,0111,0101,0011,0000]
(1.0 4.0 6.0 3.0 0.0 2.0 8.0 5.0 7.0 ) , [0001,0100,0110,0011,0000,0010,1000,0101,0111]
(6.0 2.0 5.0 1.0 4.0 0.0 8.0 3.0 7.0 ) , [0110,0010,0101,0001,0100,0000,1000,0011,0111]
(7.0 4.0 1.0 8.0 0.0 3.0 6.0 2.0 5.0 ) , [0111,0100,0001,1000,0000,0011,0110,0010,0101]
(7.0 4.0 1.0 3.0 0.0 6.0 8.0 2.0 5.0 ) , [0111,0100,0001,0011,0000,0110,1000,0010,0101]
(6.0 2.0 5.0 7.0 0.0 3.0 8.0 4.0 1.0 ) , [0110,0010,0101,0111,0000,0011,1000,0100,0001]
(5.0 7.0 2.0 0.0 8.0 4.0 1.0 3.0 6.0 ) , [0101,0111,0010,0000,1000,0100,0001,0011,0110]
(2.0 4.0 1.0 7.0 0.0 3.0 6.0 8.0 5.0 ) , [0010,0100,0001,0111,0000,0011,0110,1000,0101]
(5.0 1.0 4.0 6.0 8.0 3.0 7.0 0.0 2.0 ) , [0101,0001,0100,0110,1000,0011,0111,0000,0010]
(8.0 4.0 2.0 0.0 5.0 7.0 1.0 3.0 6.0 ) , [1000,0100,0010,0000,0101,0111,0001,0011,0110]
(2.0 5.0 1.0 6.0 0.0 3.0 7.0 4.0 8.0 ) , [0010,0101,0001,0110,0000,0011,0111,0100,1000]
(2.0 0.0 7.0 3.0 8.0 6.0 4.0 1.0 5.0 ) , [0010,0000,0111,0011,1000,0110,0100,0001,0101]
(6.0 2.0 5.0 7.0 0.0 4.0 8.0 1.0 3.0 ) , [0110,0010,0101,0111,0000,0100,1000,0001,0011]
(3.0 0.0 4.0 1.0 8.0 6.0 2.0 7.0 5.0 ) , [0011,0000,0100,0001,1000,0110,0010,0111,0101]
(4.0 6.0 0.0 3.0 1.0 7.0 5.0 8.0 2.0 ) , [0100,0110,0000,0011,0001,0111,0101,1000,0010]
(5.0 0.0 4.0 6.0 8.0 2.0 7.0 1.0 3.0 ) , [0101,0000,0100,0110,1000,0010,0111,0001,0011]
(3.0 1.0 7.0 2.0 8.0 6.0 4.0 0.0 5.0 ) , [0011,0001,0111,0010,1000,0110,0100,0000,0101]
